requirement_id,status,artifact,details
call_queue_details_names,missing,call_queue_agents,
call_queue_forwarding,ok,call_queue_forwarding,
groups_list,ok,groups,
group_member_info,ok,group_members,
group_id,ok,group_members,
licenses_no_pstn,ok,licenses_no_pstn,
route_group_id,missing,location_pstn_connection,
connection_type,missing,location_pstn_connection,
locations_language,ok,locations,
locations_address_1,ok,locations,
locations_city,ok,locations,
locations_state,ok,locations,
locations_postal_code,missing,locations,
locations_country,ok,locations,
users_webex_calling,ok,people,
workspace_id,ok,workspaces,
direct_number,ok,person_numbers/workspace_numbers,
location_calling_enabled,ok,calling_locations,
api_orgid_locationid_validation,missing,calling_locations_details,SDK uses location_id context; org inferred by token
control_hub_validation,missing,manual,Validación alternativa debe ejecutarse en Control Hub
